Num,Area,County,Cancer_Type,Year,Sex,Age_Adjusted_Rate,Case_Count,Population
1,Ohio,Carroll,Colon&Rectum,2014-2018,Male&Female,30.2,63,137874
2,Ohio,Noble,Colon&Rectum,2014-2018,Male&Female,30.3,41,72187
3,Ohio,Warren,Colon&Rectum,2014-2018,Male&Female,33.7,423,1132324
4,Ohio,Fairfield,Colon&Rectum,2014-2018,Male&Female,35.2,310,765071
5,Ohio,Greene,Colon&Rectum,2014-2018,Male&Female,35.5,355,828247
6,Ohio,Stark,Colon&Rectum,2014-2018,Male&Female,35.6,901,1866959
7,Ohio,Delaware,Colon&Rectum,2014-2018,Male&Female,35.6,364,985936
8,Ohio,Gallia,Colon&Rectum,2014-2018,Male&Female,36.3,72,151005
9,Ohio,Morrow,Colon&Rectum,2014-2018,Male&Female,36.5,83,174826
10,Ohio,Summit,Colon&Rectum,2014-2018,Male&Female,37.2,1309,2708103
11,Ohio,Franklin,Colon&Rectum,2014-2018,Male&Female,37.3,2282,6373406
12,Ohio,Union,Colon&Rectum,2014-2018,Male&Female,37.7,104,278322
13,Ohio,Wayne,Colon&Rectum,2014-2018,Male&Female,38,276,580697
14,Ohio,Auglaize,Colon&Rectum,2014-2018,Male&Female,38.5,120,228726
15,Ohio,Harrison,Colon&Rectum,2014-2018,Male&Female,38.5,43,76535
16,Ohio,Geauga,Colon&Rectum,2014-2018,Male&Female,38.5,250,469544
17,Ohio,Hancock,Colon&Rectum,2014-2018,Male&Female,38.6,183,378683
18,Ohio,Monroe,Colon&Rectum,2014-2018,Male&Female,38.6,43,70411
19,Ohio,Montgomery,Colon&Rectum,2014-2018,Male&Female,38.6,1300,2659150
20,Ohio,Medina,Colon&Rectum,2014-2018,Male&Female,38.8,439,886011
21,Ohio,Lorain,Colon&Rectum,2014-2018,Male&Female,39.1,778,1532981
22,Ohio,Muskingum,Colon&Rectum,2014-2018,Male&Female,39.1,211,430346
23,Ohio,Clinton,Colon&Rectum,2014-2018,Male&Female,39.2,101,209620
24,Ohio,Putnam,Colon&Rectum,2014-2018,Male&Female,39.2,85,169893
25,Ohio,Scioto,Colon&Rectum,2014-2018,Male&Female,39.6,195,382360
26,Ohio,Licking,Colon&Rectum,2014-2018,Male&Female,39.9,406,861297
27,Ohio,Hamilton,Colon&Rectum,2014-2018,Male&Female,40.1,1878,4058091
28,Ohio,Butler,Colon&Rectum,2014-2018,Male&Female,40.5,846,1890709
29,Ohio,Miami,Colon&Rectum,2014-2018,Male&Female,40.5,273,523726
30,Ohio,Shelby,Colon&Rectum,2014-2018,Male&Female,40.5,122,244150
31,Ohio,Crawford,Colon&Rectum,2014-2018,Male&Female,40.5,119,210020
32,Ohio,Lake,Colon&Rectum,2014-2018,Male&Female,40.6,636,1149479
33,Ohio,Preble,Colon&Rectum,2014-2018,Male&Female,41.3,116,206076
34,Ohio,Perry,Colon&Rectum,2014-2018,Male&Female,41.4,91,179902
35,Ohio,Ashtabula,Colon&Rectum,2014-2018,Male&Female,41.8,279,490937
36,Ohio,Ross,Colon&Rectum,2014-2018,Male&Female,41.8,198,385171
37,Ohio,Mahoning,Colon&Rectum,2014-2018,Male&Female,41.9,713,1154513
38,Ohio,Tuscarawas,Colon&Rectum,2014-2018,Male&Female,41.9,259,462338
39,Ohio,Clermont,Colon&Rectum,2014-2018,Male&Female,42.2,514,1016400
40,Ohio,Trumbull,Colon&Rectum,2014-2018,Male&Female,42.5,627,1008836
41,Ohio,Holmes,Colon&Rectum,2014-2018,Male&Female,42.7,93,219331
42,Ohio,Jefferson,Colon&Rectum,2014-2018,Male&Female,42.8,206,334407
43,Ohio,Lucas,Colon&Rectum,2014-2018,Male&Female,42.8,1103,2161748
44,Ohio,Athens,Colon&Rectum,2014-2018,Male&Female,43.4,134,329043
45,Ohio,Clark,Colon&Rectum,2014-2018,Male&Female,43.4,391,675857
46,Ohio,Portage,Colon&Rectum,2014-2018,Male&Female,43.6,417,812553
47,Ohio,Williams,Colon&Rectum,2014-2018,Male&Female,43.6,110,184585
48,Ohio,Paulding,Colon&Rectum,2014-2018,Male&Female,43.9,54,94346
49,Ohio,Morgan,Colon&Rectum,2014-2018,Male&Female,44.1,48,73423
50,Ohio,Cuyahoga,Colon&Rectum,2014-2018,Male&Female,44.2,3615,6265383
51,Ohio,Wood,Colon&Rectum,2014-2018,Male&Female,44.3,315,649268
52,Ohio,Logan,Colon&Rectum,2014-2018,Male&Female,44.6,131,226381
53,Ohio,Knox,Colon&Rectum,2014-2018,Male&Female,44.6,172,306081
54,Ohio,Darke,Colon&Rectum,2014-2018,Male&Female,44.6,163,258637
55,Ohio,Seneca,Colon&Rectum,2014-2018,Male&Female,44.7,164,277381
56,Ohio,Belmont,Colon&Rectum,2014-2018,Male&Female,44.8,225,342481
57,Ohio,Coshocton,Colon&Rectum,2014-2018,Male&Female,45.2,113,182857
58,Ohio,Allen,Colon&Rectum,2014-2018,Male&Female,45.5,287,518374
59,Ohio,Richland,Colon&Rectum,2014-2018,Male&Female,45.5,365,606346
60,Ohio,Jackson,Colon&Rectum,2014-2018,Male&Female,45.7,91,162600
61,Ohio,Pickaway,Colon&Rectum,2014-2018,Male&Female,45.8,154,287055
62,Ohio,Mercer,Colon&Rectum,2014-2018,Male&Female,46.1,117,203978
63,Ohio,Erie,Colon&Rectum,2014-2018,Male&Female,46.2,269,375441
64,Ohio,Fulton,Colon&Rectum,2014-2018,Male&Female,46.4,119,211542
65,Ohio,Huron,Colon&Rectum,2014-2018,Male&Female,46.6,161,292041
66,Ohio,Madison,Colon&Rectum,2014-2018,Male&Female,47,122,219926
67,Ohio,Henry,Colon&Rectum,2014-2018,Male&Female,47.2,83,136630
68,Ohio,Highland,Colon&Rectum,2014-2018,Male&Female,47.3,130,215014
69,Ohio,Pike,Colon&Rectum,2014-2018,Male&Female,47.4,85,140411
70,Ohio,Champaign,Colon&Rectum,2014-2018,Male&Female,47.7,117,194418
71,Ohio,Hocking,Colon&Rectum,2014-2018,Male&Female,48.8,89,142429
72,Ohio,Wyandot,Colon&Rectum,2014-2018,Male&Female,48.9,72,110511
73,Ohio,Brown,Colon&Rectum,2014-2018,Male&Female,49,144,218361
74,Ohio,Columbiana,Colon&Rectum,2014-2018,Male&Female,49.1,337,519687
75,Ohio,Lawrence,Colon&Rectum,2014-2018,Male&Female,49.3,191,302995
76,Ohio,Ottawa,Colon&Rectum,2014-2018,Male&Female,49.7,166,203537
77,Ohio,Sandusky,Colon&Rectum,2014-2018,Male&Female,50,194,296452
78,Ohio,Ashland,Colon&Rectum,2014-2018,Male&Female,50.6,181,267359
79,Ohio,Washington,Colon&Rectum,2014-2018,Male&Female,51.1,217,303380
80,Ohio,Vinton,Colon&Rectum,2014-2018,Male&Female,51.2,42,65541
81,Ohio,Fayette,Colon&Rectum,2014-2018,Male&Female,51.7,90,143223
82,Ohio,Meigs,Colon&Rectum,2014-2018,Male&Female,52,86,115758
83,Ohio,Van-Wert,Colon&Rectum,2014-2018,Male&Female,52.3,98,141366
84,Ohio,Marion,Colon&Rectum,2014-2018,Male&Female,53.3,224,327192
85,Ohio,Guernsey,Colon&Rectum,2014-2018,Male&Female,53.4,140,196370
86,Ohio,Hardin,Colon&Rectum,2014-2018,Male&Female,55.9,101,157545
87,Ohio,Adams,Colon&Rectum,2014-2018,Male&Female,57.3,101,139246
88,Ohio,Defiance,Colon&Rectum,2014-2018,Male&Female,57.9,137,191236